"id","descrizione","codiceIdentificativo"
"269","Sistema di certificazione dell'identità digitale per i beni culturali","M1C3I1.1.2"
"270","Servizi di infrastruttura cloud","M1C3I1.1.3"
"271","Infrastruttura digitale per il patrimonio culturale","M1C3I1.1.4"
"272","Digitalizzazione","M1C3I1.1.5"
"273","Formazione e miglioramento delle competenze digitali","M1C3I1.1.6"
"274","Supporto operativo","M1C3I1.1.7"
"275","Polo di conservazione digitale","M1C3I1.1.8"
"276","Portale dei procedimenti e dei servizi ai cittadini","M1C3I1.1.9"
"61","Rimozione delle barriere fisiche e cognitive in musei, biblioteche e archivi per consentire un più ampio accesso e partecipazione alla cultura","M1C3I1.2"
"62","Migliorare l'efficienza energetica nei cinema, nei teatri e nei musei","M1C3I1.3"
"63","Attrattività dei borghi","M1C3I2.1"
"64","Tutela e valorizzazione dell'architettura e del paesaggio rurale","M1C3I2.2"
"65","Programmi di tutela e riqualificazione di parchi e giardini storici","M1C3I2.3"
"66","Sicurezza sismica nei luoghi di culto, restauro del patrimonio culturale del Fondo Edifici di Culto (FEC) e siti di ricovero per le opere d’arte (Recovery Art)","M1C3I2.4"
"67","Sviluppo industria cinematografica (Progetto Cinecittà)","M1C3I3.2"
"68","Capacity building per gli operatori della cultura per gestire la transizione digitale e verde","M1C3I3.3"
"264","Interventi per migliorare l'ecosistema in cui operano i settori culturali e creativi, incoraggiando la cooperazione tra operatori cu lturali e organizzazioni e facilitando upskill e reskill","M1C3I3.3.1"
"265","Sostegno ai settori culturali e creativi per l'innovazione e la transizione digitale","M1C3I3.3.2"
"266","Promuovere la riduzione dell'impronta ecologica degli eventi culturali","M1C3I3.3.3"
"267","Promuovere l'innovazione e l'eco-progettazione inclusiva","M1C3I3.3.4"
"69","Hub del Turismo Digitale","M1C3I4.1"
"70","Fondi integrati per la competitività delle imprese turistiche","M1C3I4.2"
"280","Miglioramento delle infrastrutture di ricettività attraverso lo strumento del Tax credit","M1C3I4.2.1"
"282","Sviluppo e resilienza delle imprese del settore turistico (Fondo dei Fondi BEI)","M1C3I4.2.3"
"283","Sostegno alla nascita e al consolidamento delle pmi turismo (Sezione speciale “turismo” del Fondo di Garanzia per le PMI)","M1C3I4.2.4"
