"id","descrizione","codiceIdentificativo"
"498","Transizione 5.0 - Sviluppo, implementazione e gestione della piattaforma informatica","M7C1I15.1.2"
"436","Sostegno per l'autoproduzione di energia da fonti rinnovabili nelle PMI","M7C1I16.1"
"437","Strumento finanziario per l'efficientamento energetico dell'edilizia residenziale pubblica (ERP)","M7C1I17.1"
"513","Misura Rafforzata: Programma rinnovo flotta veicoli circolanti privati e commerciali leggeri con veicoli elettrici","M7C1I18"
"438","Misura rafforzata: Interventi su resilienza climatica delle reti","M7C1I2.1"
"439","Misura rafforzata: Produzione di idrogeno in aree industriali dismesse","M7C1I3.1"
"440","Tyrrhenian link","M7C1I4.1"
"441","SA.CO.I.3","M7C1I5.1"
"443","Rete di trasmissione intelligente","M7C1I7.1"
"444","Approvvigionamento sostenibile, circolare e sicuro delle materie prime critiche","M7C1I8.1"
"446","Semplificazione delle procedure autorizzative per le energie rinnovabili a livello centrale e locale","M7C1R1.1"
"447","Riduzione delle sovvenzioni dannose per l'ambiente","M7C1R2.1"
"448","Riduzione dei costi di connessione degli impianti per la produzione di biometano","M7C1R3.1"
"449","Mitigazione del rischio finanziario associato ai contratti PPA da fonti rinnovabili","M7C1R4.1"
"450","Piano Nuove Competenze Transizioni","M7C1R5.1"
"451","Servizi digitali e cittadinanza digitale","PNC-A.1"
"459","Digitalizzazione della PA","PNC-A.1.1"
"472","Potenziamento Piattaforma Digitale Nazionale Dati (PDND)","PNC-A.1.1.1"
"473","Supporto specialistico per costituzione e avvio della SpA ex DL 36/2022","PNC-A.1.1.10"
"474","Digitalizzazione pagamenti PA","PNC-A.1.1.2"
"475","Riduzione tempi giustizia amministrativa e Avvocatura dello Stato","PNC-A.1.1.3"
"476","Rafforzamento dell'Anagrafe Nazionale della Popolazione Residente (ANPR) e Digitalizzazione tessera elettorale","PNC-A.1.1.4"
"477","Aggiornamento tecnologico e progressiva dematerializzazione della Tessera Sanitaria (TS)","PNC-A.1.1.5"
"478","Dematerializzazione archivi delle PA locali","PNC-A.1.1.6"
"479","Progetti pilota nell'ambito del Mobility-as-a-Service (Maas)","PNC-A.1.1.7"
"480","Sistema gestione deleghe","PNC-A.1.1.8"
"481","Evoluzione piattaforma PAdigitale2026","PNC-A.1.1.9"
"460","Rafforzare soluzioni di IA e deeptech","PNC-A.1.2"
"482","Attuazione delle 6 politiche di IA per la PA delineate nel Programma Strategico per l'Intelligenza Artificiale","PNC-A.1.2.1"
"483","Consulenze specialistiche di indirizzo strategico e di supporto legale nel settore dei semiconduttori","PNC-A.1.2.2"
"461","Progetti Bandiera","PNC-A.1.3"
"452","Servizi digitali e competenze digitali","PNC-A.2"
"453","Tecnologie satellitari ed economia spaziale","PNC-A.3"
"362","Ecosistemi per l’innovazione al Sud in contesti urbani marginalizzati ","PNC-A.4"
"363","Interventi per le aree del terremoto del 2009 e 2016","PNC-B.1"
"376","Città e paesi sicuri, sostenibili e connessi (A)","PNC-B.1.1"
"381","Rilancio economico e sociale (B)","PNC-B.1.2"
"346","Rinnovo delle flotte di bus, treni e navi verdi - Bus","PNC-C.1"
"355","Efficientamento energetico","PNC-C.10"
"356","Elettrificazione delle banchine (Cold ironing)","PNC-C.11"
"364","Strategia Nazionale Aree Interne - Miglioramento dell'accessibilità e della sicurezza delle strade","PNC-C.12"
"348","Sicuro, verde e sociale: riqualificazione dell'edilizia residenziale pubblica","PNC-C.13"
"347","Rinnovo delle flotte di bus, treni e navi verdi - Navi","PNC-C.2"
"386","1. Rinnovo della flotta navale mediterranea con unità navali a combustibile pulito","PNC-C.2.1"
"484","Upgrading nuove navi","PNC-C.2.1.1"
"485","Retrofit Navi","PNC-C.2.1.2"
"387","2. Rinnovo della flotta navale e nello Stretto di Messina per ridurre le emissioni","PNC-C.2.2"
"388","3. Aumentare la disponibilità di combustibili marini alternativi in Italia","PNC-C.2.3"
"486","Microliquefattori","PNC-C.2.3.1"
"487","Navi bunkerine","PNC-C.2.3.2"
"454","Rafforzamento delle linee ferroviarie regionali","PNC-C.3"
"351","Rinnovo del materiale rotabile e infrastrutture per il trasporto ferroviario delle merci","PNC-C.4"
"389","1. Locomotori, carri e Raccordi ferroviari","PNC-C.4.1"
"488","Locomotori e carri","PNC-C.4.1.1"
"489","Raccordi ferroviari","PNC-C.4.1.2"
"390","2. Mezzi intermodali","PNC-C.4.2"
"490","Locotrattori, transtainer/gru","PNC-C.4.2.1"
"353","Strade sicure – Messa in sicurezza e implementazione di un sistema di monitoraggio dinamico per il controllo da remoto di ponti, viadotti e tunnel (A24-A25)","PNC-C.5"
"462","PONTI E VIADOTTI","PNC-C.5.1"
"463","SMART ROAD","PNC-C.5.2"
"464","TRAFORO DEL GRAN SASSO","PNC-C.5.3"
"352","Strade sicure – Implementazione di un sistema di monitoraggio dinamico per il controllo da remoto di ponti, viadotti e tunnel della rete viaria principale","PNC-C.6"
"357","Sviluppo dell’accessibilità marittima e della resilienza delle infrastrutture portuali ai cambiamenti climatici","PNC-C.7"
"354","Aumento selettivo della capacità portuale","PNC-C.8"
"358","Ultimo/Penultimo Miglio Ferroviario/Stradale","PNC-C.9"
"344","Piano di investimenti strategici sui siti del patrimonio culturale, edifici e aree naturali","PNC-D.1"
"365","Salute, ambiente, biodiversità e clima","PNC-E.1"
"465","1) rafforzamento complessivo delle strutture e dei servizi di snps-snpa a livello nazionale, regionale e locale","PNC-E.1.1"
"466","2) sviluppo e implementazione di specifici programmi operativi pilota per la definizione di modelli di intervento integrato salute-ambiente-clima in 2 siti contaminati selezionati di interesse nazionale","PNC-E.1.2"
"467","3) formazione di livello universitario e programma nazionale di formazione continua in salute-ambiente-clima","PNC-E.1.3"
"468","4) promozione e finanziamento di ricerca applicata con approcci multidisciplinari in specifiche aree di intervento salute-ambiente-clima","PNC-E.1.4"
"469","5) piattaforma di rete digitale nazionale snpa-snps","PNC-E.1.5"
"455","Verso un nuovo ospedale sicuro e sostenibile","PNC-E.2"
"367","Ecosistema innovativo della salute","PNC-E.3"
"337","Polis - Case dei servizi di cittadinanza digitale","PNC-F.1"
"456","Transizione 4.0","PNC-F.2"
"359","Accordi per l'Innovazione","PNC-F.3"
"360","Costruzione e Miglioramento padiglioni e spazi strutture penitenziarie per adulti e minori","PNC-G.1"
"470","1. Miglioramento degli spazi e della qualità della vita carceraria nelle carceri per adulti (DAP), attraverso la costruzione di 8 nuovi padiglioni “modello” per detenuti adulti","PNC-G.1.1"
"471","2. Adeguamento strutturale, aumento dell’efficienza energetica ed interventi antisismici di quattro complessi demaniali sede di Istituti penali per i minorenni","PNC-G.1.2"
"345","Contratti di filiera e distrettuali per i settori agroalimentare, pesca e acquacoltura, silvicoltura, floricoltura e vivaismo","PNC-H.1"
"368","Iniziative di ricerca per tecnologie e percorsi innovativi in ​​ambito sanitario e assistenziale","PNC-I.1"
"457","Piani urbani integrati","PNC-L.1"
"458","Ecobonus e Sismabonus fino al 110% per l'efficienza energetica e la sicurezza degli edifici","PNC-M.1"
