"scadenza","misura"
"316","M1C2I5.1.2"
"331","M1C3I1.1.2"
"332","M1C3I1.1.1"
"333","M1C3I1.1.4"
"334","M1C3I1.1.9"
"335","M1C3I1.1.4"
"336","M1C3I1.1.6"
"337","M1C3I1.1.5"
"338","M1C3I1.1.8"
"339","M1C3I1.1.6"
"340","M1C3I1.1.5"
"341","M1C3I1.1.12"
"342","M1C3I1.2"
"346","M1C3I1.2"
"347","M1C3I1.3"
"348","M1C3I1.3"
"349","M1C3I1.3"
"351","M1C3I1.3"
"353","M1C3I2.1"
"358","M1C3I2.1"
"361","M1C3I2.2"
"364","M1C3I2.2"
"365","M1C3I2.3"
"368","M1C3I2.3"
"371","M1C3I2.4"
"373","M1C3I2.4"
"407","M1C3R3.1"
"377","M1C3I3.2"
"380","M1C3I3.2"
"381","M1C3I3.3.1"
"381","M1C3I3.3.2"
"381","M1C3I3.3.3"
"381","M1C3I3.3.4"
"382","M1C3I3.3.1"
"382","M1C3I3.3.3"
"384","M1C3I3.3.4"
"384","M1C3I3.3.2"
"385","M1C3I3.3.3"
"385","M1C3I3.3.1"
"408","M1C3R4.1"
"386","M1C3I4.1"
"387","M1C3I4.1"
"389","M1C3I4.2.3"
"391","M1C3I4.2.4"
"392","M1C3I4.2.5"
"393","M1C3I4.2.1"
"395","M1C3I4.2.3"
"397","M1C3I4.2.1"
"398","M1C3I4.2.3"
"399","M1C3I4.2.4"
"400","M1C3I4.2.5"
"402","M1C3I4.3.4"
"402","M1C3I4.3.1"
"402","M1C3I4.3.2"
"402","M1C3I4.3.3"
"402","M1C3I4.3.6"
"402","M1C3I4.3.5"
"404","M1C3I4.3.3"
"404","M1C3I4.3.1"
"404","M1C3I4.3.4"
"404","M1C3I4.3.5"
"404","M1C3I4.3.6"
"404","M1C3I4.3.2"
"405","M1C3I4.3.5"
"405","M1C3I4.3.1"
"405","M1C3I4.3.2"
"405","M1C3I4.3.4"
"405","M1C3I4.3.6"
"405","M1C3I4.3.3"
"450","M2C1R1.1"
"451","M2C1R1.1"
"409","M2C1I1.1"
"411","M2C1I1.1"
"412","M2C1R1.2"
"413","M2C1R1.2"
"452","M2C1R1.2"
"453","M2C1R1.2"
"415","M2C1R1.2"
"416","M2C1R1.2"
"417","M2C1I1.1"
"418","M2C1I1.1"
"428","M2C1R1.1"
"454","M2C1R1.3"
"430","M2C1I2.1"
"431","M2C1I2.1"
"433","M2C1I2.2"
"434","M2C1I2.2"
"435","M2C1I2.2"
"436","M2C1I2.2"
"438","M2C1I2.3"
"439","M2C1I2.3"
